APN,COMMUNITY,SITUS,LAT,LONG
501-79-565,ACOMA,15850 W PORT ROYALE LN SURPRISE 85379,33.62022025,-112.4009847
501-79-566,ACOMA,15842 W PORT ROYALE LN SURPRISE 85379,33.62021861,-112.400827
501-79-567,ACOMA,15834 W PORT ROYALE LN SURPRISE 85379,33.62021701,-112.4006694
501-79-568,ACOMA,15826 W PORT ROYALE LN SURPRISE 85379,33.62021541,-112.4005117
501-79-569,ACOMA,15818 W PORT ROYALE LN SURPRISE 85379,33.6202138,-112.400354
501-79-570,ACOMA,15810 W PORT ROYALE LN SURPRISE 85379,33.6202122,-112.4001964
501-79-571,ACOMA,15802 W PORT ROYALE LN SURPRISE 85379,33.6202106,-112.4000387
501-79-572,ACOMA,15794 W PORT ROYALE LN SURPRISE 85379,33.620209,-112.3998811
501-79-573,ACOMA,15786 W PORT ROYALE LN SURPRISE 85379,33.62020739,-112.3997234
501-79-574,ACOMA,15778 W PORT ROYALE LN SURPRISE 85379,33.62021507,-112.3995663
501-79-575,ACOMA,15770 W PORT ROYALE LN SURPRISE 85379,33.62020184,-112.3994028
501-79-576,ACOMA,15855 W PORT ROYALE LN SURPRISE 85379,33.61975488,-112.4010346
501-79-577,ACOMA,15847 W PORT ROYALE LN SURPRISE 85379,33.61975328,-112.4008769
501-79-578,ACOMA,15839 W PORT ROYALE LN SURPRISE 85379,33.61975168,-112.4007193
501-79-579,ACOMA,15831 W PORT ROYALE LN SURPRISE 85379,33.61975008,-112.4005616
501-79-580,ACOMA,15823 W PORT ROYALE LN SURPRISE 85379,33.61974848,-112.400404
501-79-581,ACOMA,15815 W PORT ROYALE LN SURPRISE 85379,33.61974687,-112.4002463
501-79-582,ACOMA,15807 W PORT ROYALE LN SURPRISE 85379,33.61974527,-112.4000886
501-79-583,ACOMA,15799 W PORT ROYALE LN SURPRISE 85379,33.61974367,-112.399931
501-79-584,ACOMA,15791 W PORT ROYALE LN SURPRISE 85379,33.61974207,-112.3997733
501-79-585,ACOMA,15783 W PORT ROYALE LN SURPRISE 85379,33.6197391,-112.3996163
501-79-586,ACOMA,15782 W MAUNA LOA LN SURPRISE 85379,33.61938462,-112.3996214
501-79-587,ACOMA,15790 W MAUNA LOA LN SURPRISE 85379,33.61938485,-112.3997785
501-79-588,ACOMA,15798 W MAUNA LOA LN SURPRISE 85379,33.61938645,-112.3999362
501-79-589,ACOMA,15806 W MAUNA LOA LN SURPRISE 85379,33.61938805,-112.4000938
501-79-590,ACOMA,15814 W MAUNA LOA LN SURPRISE 85379,33.61938966,-112.4002515
501-79-591,ACOMA,15822 W MAUNA LOA LN SURPRISE 85379,33.61939126,-112.4004091
501-79-592,ACOMA,15830 W MAUNA LOA LN SURPRISE 85379,33.61939286,-112.4005668
501-79-593,ACOMA,15838 W MAUNA LOA LN SURPRISE 85379,33.61939446,-112.4007244
501-79-594,ACOMA,15846 W MAUNA LOA LN SURPRISE 85379,33.61939606,-112.4008821
501-79-595,ACOMA,15854 W MAUNA LOA LN SURPRISE 85379,33.61939766,-112.4010397
501-79-596,ACOMA,15870 W MAUNA LOA LN SURPRISE 85379,33.61940251,-112.4015169
501-79-597,ACOMA,15878 W MAUNA LOA LN SURPRISE 85379,33.61940444,-112.4017074
501-79-598,ACOMA,15886 W MAUNA LOA LN SURPRISE 85379,33.61940751,-112.4018973
501-79-599,ACOMA,15887 W PORT ROYALE LN SURPRISE 85379,33.61976246,-112.4018922
501-79-600,ACOMA,15879 W PORT ROYALE LN SURPRISE 85379,33.61976166,-112.4017022
501-79-601,ACOMA,15871 W PORT ROYALE LN SURPRISE 85379,33.61975973,-112.4015117
501-79-602,ACOMA,15870 W PORT ROYALE LN SURPRISE 85379,33.62023932,-112.40151
501-79-603,ACOMA,15878 W PORT ROYALE LN SURPRISE 85379,33.62024124,-112.4017005
501-79-604,ACOMA,15886 W PORT ROYALE LN SURPRISE 85379,33.62024502,-112.4018903
501-79-605,ACOMA,15894 W PORT ROYALE LN SURPRISE 85379,33.62025264,-112.4021606
501-79-606,ACOMA,14934 N 158TH LN SURPRISE 85379,33.62004715,-112.4023904
501-79-607,ACOMA,14912 N 158TH LN SURPRISE 85379,33.61982442,-112.4023726
501-79-608,ACOMA,14878 N 158TH LN SURPRISE 85379,33.6196654,-112.4023717
501-79-609,ACOMA,14856 N 158TH LN SURPRISE 85379,33.61950601,-112.4023721
501-79-610,ACOMA,14834 N 158TH LN SURPRISE 85379,33.61934712,-112.4023741
501-79-611,ACOMA,14812 N 158TH LN SURPRISE 85379,33.61909592,-112.4024076
501-79-612,ACOMA,15893 W MAUNA LOA LN SURPRISE 85379,33.61890357,-112.4022133
501-79-613,ACOMA,15885 W MAUNA LOA LN SURPRISE 85379,33.6189306,-112.4018999
501-79-614,ACOMA,15877 W MAUNA LOA LN SURPRISE 85379,33.6189302,-112.4017099
501-79-615,ACOMA,15869 W MAUNA LOA LN SURPRISE 85379,33.61892714,-112.40152
501-79-616,ACOMA,15837 W MAUNA LOA LN SURPRISE 85379,33.61891955,-112.4006637
501-79-617,ACOMA,15829 W MAUNA LOA LN SURPRISE 85379,33.61891796,-112.400506
501-79-618,ACOMA,15821 W MAUNA LOA LN SURPRISE 85379,33.61891635,-112.4003484
501-79-619,ACOMA,15813 W MAUNA LOA LN SURPRISE 85379,33.61891475,-112.4001907
501-79-620,ACOMA,15805 W MAUNA LOA LN SURPRISE 85379,33.61891315,-112.4000331
501-79-621,ACOMA,15797 W MAUNA LOA LN SURPRISE 85379,33.61891156,-112.3998754
501-79-622,ACOMA,15789 W MAUNA LOA LN SURPRISE 85379,33.61890995,-112.3997178
501-79-623,ACOMA,15781 W MAUNA LOA LN SURPRISE 85379,33.61890396,-112.3995606
501-79-624,ACOMA,15776 W BANFF LN SURPRISE 85379,33.61855129,-112.399566
501-79-625,ACOMA,15784 W BANFF LN SURPRISE 85379,33.61854958,-112.399723
501-79-626,ACOMA,15792 W BANFF LN SURPRISE 85379,33.61855117,-112.3998806
501-79-627,ACOMA,15800 W BANFF LN SURPRISE 85379,33.61855276,-112.4000383
501-79-628,ACOMA,15808 W BANFF LN SURPRISE 85379,33.61855436,-112.4001959
501-79-629,ACOMA,15816 W BANFF LN SURPRISE 85379,33.61855596,-112.4003536
501-79-630,ACOMA,15824 W BANFF LN SURPRISE 85379,33.61855757,-112.4005112
501-79-631,ACOMA,15830 W BANFF LN SURPRISE 85379,33.61855915,-112.4006689
501-79-632,ACOMA,15868 W BANFF LN SURPRISE 85379,33.61856899,-112.4015252
501-79-633,ACOMA,15876 W BANFF LN SURPRISE 85379,33.61856978,-112.4017151
501-79-634,ACOMA,15884 W BANFF LN SURPRISE 85379,33.61858272,-112.4019172
501-79-635,ACOMA,15892 W BANFF LN SURPRISE 85379,33.61859176,-112.4022611
